education,experience,industry,skills,jobtitle,location,salary_range,work_hours,company_size,job_type
Bachelor,12,Finance,Problem Solving,Finance / Banking,London,"$110,000 - $130,000",Contract,Medium (51-500 employees),Consultant
High School,14,Education,HTML/CSS,Hospitality / Tourism,Sydney,"$70,000 - $90,000",Remote,Small (1-50 employees),Analyst
PhD,2,IT,SQL,Education / Teaching,San Francisco,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Designer
Bachelor,12,Media,Problem Solving,IT-Software / Software Services,Sydney,"$70,000 - $90,000",Remote,Medium (51-500 employees),Administrator
Master,2,Ecommerce,Data Analysis,Retail / Wholesale,London,"$70,000 - $90,000",Remote,Large (501-10000 employees),Administrator
Bachelor,5,Recruitment,JavaScript,Finance / Banking,Berlin,"$90,000 - $110,000",Contract,Medium (51-500 employees),Administrator
PhD,1,IT,Java,Retail / Wholesale,London,"$90,000 - $110,000",Remote,Medium (51-500 employees),Manager
Master,10,Healthcare,Communication,Media / Entertainment / Internet,New York,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Designer
Master,19,Education,Communication,Finance / Banking,New York,"$70,000 - $90,000",Contract,Medium (51-500 employees),Manager
High School,19,Finance,Machine Learning,Media / Entertainment / Internet,New York,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Developer
High School,10,Finance,Machine Learning,Education / Teaching,Tokyo,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Engineer
Master,13,Finance,Problem Solving,Industrial Products / Heavy Machinery,Sydney,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Consultant
High School,16,Retail,Data Analysis,Healthcare / Medical Services,Sydney,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Developer
Master,18,Recruitment,Machine Learning,Industrial Products / Heavy Machinery,Tokyo,"$90,000 - $110,000",Remote,Large (501-10000 employees),Consultant
PhD,8,Finance,SQL,Internet / Ecommerce,London,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Administrator
Bachelor,17,Media,Python,Healthcare / Medical Services,Toronto,"$130,000 - $150,000",Remote,Large (501-10000 employees),Analyst
Bachelor,2,Hospitality,Python,Retail / Wholesale,Sydney,"$110,000 - $130,000",Remote,Medium (51-500 employees),Consultant
PhD,3,Education,JavaScript,Recruitment / Staffing,London,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Manager
Master,18,Media,JavaScript,Hospitality / Tourism,New York,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Engineer
Master,7,Recruitment,Problem Solving,IT-Software / Software Services,Toronto,"$50,000 - $70,000",Contract,Medium (51-500 employees),Developer
High School,7,Finance,Java,Recruitment / Staffing,New York,"$130,000 - $150,000",Part-time,Small (1-50 employees),Designer
Master,7,Media,SQL,Internet / Ecommerce,New York,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Consultant
Master,8,Healthcare,C++,IT-Software / Software Services,San Francisco,"$90,000 - $110,000",Remote,Small (1-50 employees),Analyst
PhD,13,Industrial,SQL,Hospitality / Tourism,Sydney,"$50,000 - $70,000",Remote,Small (1-50 employees),Analyst
Master,12,Media,Problem Solving,Hospitality / Tourism,Shanghai,"$50,000 - $70,000",Remote,Medium (51-500 employees),Consultant
PhD,19,Recruitment,Machine Learning,Internet / Ecommerce,Shanghai,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Analyst
PhD,15,Media,HTML/CSS,Internet / Ecommerce,New York,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Manager
PhD,3,Finance,HTML/CSS,Hospitality / Tourism,Shanghai,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Analyst
PhD,1,IT,JavaScript,Education / Teaching,New York,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Analyst
PhD,6,Retail,SQL,IT-Software / Software Services,New York,"$130,000 - $150,000",Part-time,Enterprise (10000+ employees),Analyst
High School,17,Ecommerce,SQL,IT-Software / Software Services,Singapore,"$90,000 - $110,000",Contract,Large (501-10000 employees),Designer
High School,2,Recruitment,Python,Hospitality / Tourism,New York,"$130,000 - $150,000",Full-time,Small (1-50 employees),Designer
Bachelor,13,Industrial,HTML/CSS,Internet / Ecommerce,Berlin,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Administrator
High School,17,Recruitment,Problem Solving,Industrial Products / Heavy Machinery,Berlin,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Consultant
High School,6,IT,JavaScript,Recruitment / Staffing,Tokyo,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Designer
Master,8,Industrial,JavaScript,Recruitment / Staffing,San Francisco,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
High School,11,Ecommerce,Machine Learning,Industrial Products / Heavy Machinery,London,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Engineer
Master,8,Recruitment,Communication,Industrial Products / Heavy Machinery,London,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Consultant
Bachelor,7,Ecommerce,Machine Learning,Healthcare / Medical Services,New York,"$110,000 - $130,000",Contract,Medium (51-500 employees),Engineer
High School,2,Ecommerce,SQL,Internet / Ecommerce,Toronto,"$110,000 - $130,000",Full-time,Small (1-50 employees),Engineer
Master,12,Education,Communication,Media / Entertainment / Internet,Berlin,"$110,000 - $130,000",Contract,Large (501-10000 employees),Designer
High School,11,Finance,Data Analysis,Finance / Banking,Berlin,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Administrator
Master,18,Retail,Python,Recruitment / Staffing,Toronto,"$110,000 - $130,000",Contract,Small (1-50 employees),Engineer
Bachelor,8,Hospitality,Data Analysis,IT-Software / Software Services,Berlin,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Developer
Master,18,Healthcare,Python,Retail / Wholesale,Tokyo,"$110,000 - $130,000",Remote,Large (501-10000 employees),Developer
Master,9,Industrial,Python,Finance / Banking,Shanghai,"$110,000 - $130,000",Full-time,Small (1-50 employees),Analyst
PhD,1,Recruitment,Machine Learning,Finance / Banking,Toronto,"$70,000 - $90,000",Remote,Large (501-10000 employees),Manager
Master,4,Education,SQL,Hospitality / Tourism,Shanghai,"$90,000 - $110,000",Contract,Medium (51-500 employees),Developer
High School,1,Ecommerce,JavaScript,IT-Software / Software Services,New York,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
Master,17,Finance,Data Analysis,Finance / Banking,Sydney,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Analyst
Master,6,IT,Machine Learning,Finance / Banking,London,"$130,000 - $150,000",Remote,Small (1-50 employees),Consultant
PhD,7,IT,HTML/CSS,Hospitality / Tourism,London,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
Bachelor,10,Healthcare,SQL,Education / Teaching,Sydney,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Administrator
Bachelor,11,Education,SQL,IT-Software / Software Services,London,"$130,000 - $150,000",Remote,Small (1-50 employees),Engineer
High School,17,Education,C++,Internet / Ecommerce,Toronto,"$50,000 - $70,000",Contract,Small (1-50 employees),Designer
High School,8,Hospitality,SQL,Media / Entertainment / Internet,Berlin,"$70,000 - $90,000",Full-time,Small (1-50 employees),Designer
Bachelor,19,Recruitment,Java,Hospitality / Tourism,Singapore,"$110,000 - $130,000",Contract,Medium (51-500 employees),Designer
Bachelor,17,Finance,Java,Industrial Products / Heavy Machinery,Sydney,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Engineer
PhD,6,IT,Python,Retail / Wholesale,Sydney,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Designer
Master,17,IT,Communication,IT-Software / Software Services,Shanghai,"$70,000 - $90,000",Full-time,Small (1-50 employees),Designer
Bachelor,14,Industrial,Python,IT-Software / Software Services,San Francisco,"$110,000 - $130,000",Contract,Medium (51-500 employees),Designer
High School,15,Education,Java,Healthcare / Medical Services,Paris,"$130,000 - $150,000",Remote,Small (1-50 employees),Manager
PhD,4,Retail,C++,Retail / Wholesale,Toronto,"$50,000 - $70,000",Full-time,Small (1-50 employees),Analyst
Bachelor,18,Education,HTML/CSS,Industrial Products / Heavy Machinery,Sydney,"$90,000 - $110,000",Contract,Large (501-10000 employees),Designer
Bachelor,5,Retail,Java,Recruitment / Staffing,New York,"$110,000 - $130,000",Contract,Small (1-50 employees),Developer
Bachelor,15,Retail,Java,Industrial Products / Heavy Machinery,Toronto,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Analyst
Bachelor,4,Retail,Python,IT-Software / Software Services,Singapore,"$50,000 - $70,000",Contract,Medium (51-500 employees),Administrator
Master,17,Ecommerce,Data Analysis,Education / Teaching,Shanghai,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Developer
PhD,3,Media,Java,Healthcare / Medical Services,Berlin,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Administrator
Bachelor,12,Healthcare,Machine Learning,Internet / Ecommerce,New York,"$50,000 - $70,000",Remote,Small (1-50 employees),Manager
PhD,10,Education,Java,Media / Entertainment / Internet,Shanghai,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Administrator
PhD,7,Finance,Problem Solving,Finance / Banking,Tokyo,"$110,000 - $130,000",Full-time,Small (1-50 employees),Administrator
High School,14,Education,Communication,Media / Entertainment / Internet,San Francisco,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Administrator
PhD,8,Ecommerce,C++,Finance / Banking,Shanghai,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Engineer
Master,13,Ecommerce,HTML/CSS,Hospitality / Tourism,Berlin,"$50,000 - $70,000",Remote,Medium (51-500 employees),Designer
Master,18,IT,Machine Learning,Recruitment / Staffing,Tokyo,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Developer
High School,2,Hospitality,Python,Healthcare / Medical Services,Shanghai,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Engineer
Bachelor,1,Media,Problem Solving,Recruitment / Staffing,Sydney,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Designer
Master,11,Healthcare,Machine Learning,Industrial Products / Heavy Machinery,Paris,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Engineer
PhD,10,IT,Problem Solving,Finance / Banking,Singapore,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Consultant
Bachelor,11,Industrial,Java,Recruitment / Staffing,Shanghai,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Administrator
PhD,13,Media,SQL,IT-Software / Software Services,Toronto,"$70,000 - $90,000",Contract,Medium (51-500 employees),Engineer
Master,11,Recruitment,SQL,Hospitality / Tourism,London,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Manager
Master,9,Ecommerce,Data Analysis,Hospitality / Tourism,New York,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Administrator
PhD,17,Retail,Communication,Industrial Products / Heavy Machinery,Singapore,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Designer
Bachelor,15,Ecommerce,JavaScript,Education / Teaching,Tokyo,"$70,000 - $90,000",Contract,Small (1-50 employees),Designer
Bachelor,13,Finance,C++,Retail / Wholesale,New York,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Analyst
PhD,11,Recruitment,JavaScript,Finance / Banking,Berlin,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Developer
PhD,17,Retail,C++,Recruitment / Staffing,Tokyo,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Designer
Master,16,Ecommerce,Problem Solving,Finance / Banking,Sydney,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Administrator
Bachelor,7,Hospitality,Data Analysis,IT-Software / Software Services,London,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Consultant
Bachelor,8,IT,C++,Education / Teaching,Tokyo,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Developer
High School,11,Education,Python,Recruitment / Staffing,Berlin,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Engineer
High School,18,Media,Java,Recruitment / Staffing,Paris,"$110,000 - $130,000",Remote,Small (1-50 employees),Developer
Master,3,Ecommerce,JavaScript,Recruitment / Staffing,Sydney,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Analyst
Master,17,Healthcare,HTML/CSS,Internet / Ecommerce,Berlin,"$70,000 - $90,000",Part-time,Small (1-50 employees),Designer
PhD,15,Healthcare,Python,Hospitality / Tourism,Berlin,"$130,000 - $150,000",Remote,Medium (51-500 employees),Designer
Master,19,Finance,JavaScript,Recruitment / Staffing,Berlin,"$50,000 - $70,000",Remote,Medium (51-500 employees),Designer
PhD,10,Healthcare,Communication,Retail / Wholesale,Singapore,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Analyst
Bachelor,2,Finance,Machine Learning,Retail / Wholesale,New York,"$130,000 - $150,000",Part-time,Enterprise (10000+ employees),Manager
Bachelor,11,Industrial,Machine Learning,Recruitment / Staffing,Toronto,"$90,000 - $110,000",Remote,Large (501-10000 employees),Analyst
PhD,10,IT,Problem Solving,Retail / Wholesale,Sydney,"$110,000 - $130,000",Remote,Small (1-50 employees),Analyst
Bachelor,16,Education,Problem Solving,Education / Teaching,San Francisco,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Manager
PhD,11,Media,HTML/CSS,Industrial Products / Heavy Machinery,Singapore,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
High School,9,Finance,Communication,Recruitment / Staffing,Sydney,"$130,000 - $150,000",Contract,Large (501-10000 employees),Manager
Master,9,Education,Data Analysis,Retail / Wholesale,Tokyo,"$50,000 - $70,000",Remote,Medium (51-500 employees),Consultant
Bachelor,14,Healthcare,Java,Finance / Banking,Toronto,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Consultant
High School,4,Industrial,SQL,Media / Entertainment / Internet,New York,"$70,000 - $90,000",Contract,Small (1-50 employees),Developer
Master,11,Hospitality,Machine Learning,Industrial Products / Heavy Machinery,Tokyo,"$50,000 - $70,000",Remote,Large (501-10000 employees),Developer
Bachelor,13,Education,Problem Solving,Education / Teaching,Shanghai,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Consultant
Bachelor,7,Healthcare,Python,Internet / Ecommerce,San Francisco,"$90,000 - $110,000",Remote,Large (501-10000 employees),Engineer
PhD,13,IT,Data Analysis,Internet / Ecommerce,Tokyo,"$90,000 - $110,000",Part-time,Small (1-50 employees),Developer
Master,8,Ecommerce,Communication,IT-Software / Software Services,Shanghai,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Manager
Master,4,Retail,Java,Recruitment / Staffing,Shanghai,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Developer
Bachelor,5,Ecommerce,Machine Learning,Hospitality / Tourism,New York,"$70,000 - $90,000",Remote,Medium (51-500 employees),Administrator
Bachelor,18,IT,JavaScript,Hospitality / Tourism,Paris,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Engineer
Master,12,Industrial,Python,Recruitment / Staffing,San Francisco,"$50,000 - $70,000",Contract,Medium (51-500 employees),Designer
Bachelor,9,Hospitality,Machine Learning,Finance / Banking,Toronto,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
Bachelor,6,Ecommerce,Machine Learning,Recruitment / Staffing,Paris,"$110,000 - $130,000",Remote,Large (501-10000 employees),Designer
Bachelor,6,Media,Python,Retail / Wholesale,Tokyo,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Engineer
PhD,19,Hospitality,Data Analysis,Internet / Ecommerce,Berlin,"$50,000 - $70,000",Remote,Large (501-10000 employees),Designer
Bachelor,4,IT,Machine Learning,Retail / Wholesale,Singapore,"$50,000 - $70,000",Remote,Small (1-50 employees),Designer
PhD,13,Healthcare,Java,Recruitment / Staffing,London,"$50,000 - $70,000",Remote,Medium (51-500 employees),Consultant
High School,14,Hospitality,C++,Healthcare / Medical Services,Sydney,"$110,000 - $130,000",Contract,Large (501-10000 employees),Engineer
High School,14,Recruitment,Java,Education / Teaching,London,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Developer
Master,6,Finance,JavaScript,Healthcare / Medical Services,Sydney,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Administrator
PhD,8,Education,Data Analysis,Industrial Products / Heavy Machinery,New York,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Designer
Master,16,Finance,Python,Retail / Wholesale,Toronto,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Developer
PhD,15,Industrial,JavaScript,IT-Software / Software Services,San Francisco,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Analyst
Bachelor,5,Healthcare,Machine Learning,Education / Teaching,New York,"$130,000 - $150,000",Contract,Medium (51-500 employees),Manager
Bachelor,8,Hospitality,Python,Recruitment / Staffing,Berlin,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Administrator
PhD,2,Healthcare,Python,Hospitality / Tourism,San Francisco,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Manager
Bachelor,7,Finance,Machine Learning,Healthcare / Medical Services,London,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Designer
Bachelor,4,Finance,Problem Solving,IT-Software / Software Services,Paris,"$130,000 - $150,000",Part-time,Enterprise (10000+ employees),Engineer
High School,5,Recruitment,Communication,Finance / Banking,London,"$50,000 - $70,000",Part-time,Small (1-50 employees),Consultant
Bachelor,14,Industrial,JavaScript,Recruitment / Staffing,Shanghai,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Engineer
PhD,19,Retail,Python,IT-Software / Software Services,Sydney,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Analyst
Bachelor,14,Finance,Python,IT-Software / Software Services,Toronto,"$110,000 - $130,000",Part-time,Small (1-50 employees),Analyst
Master,8,Hospitality,C++,Healthcare / Medical Services,Sydney,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Administrator
Bachelor,2,Industrial,JavaScript,Media / Entertainment / Internet,Shanghai,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Developer
High School,2,Finance,Machine Learning,IT-Software / Software Services,London,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Manager
PhD,10,Finance,Java,Hospitality / Tourism,Tokyo,"$50,000 - $70,000",Contract,Large (501-10000 employees),Consultant
PhD,2,Hospitality,HTML/CSS,Recruitment / Staffing,Tokyo,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Manager
Bachelor,16,IT,Machine Learning,Hospitality / Tourism,San Francisco,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Analyst
High School,18,Healthcare,Java,Hospitality / Tourism,Paris,"$70,000 - $90,000",Contract,Medium (51-500 employees),Engineer
Master,12,Hospitality,HTML/CSS,Healthcare / Medical Services,Toronto,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Developer
PhD,4,Ecommerce,Python,IT-Software / Software Services,Sydney,"$70,000 - $90,000",Contract,Small (1-50 employees),Designer
High School,18,Hospitality,Problem Solving,Internet / Ecommerce,Paris,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
PhD,9,Education,Python,Hospitality / Tourism,San Francisco,"$50,000 - $70,000",Remote,Small (1-50 employees),Engineer
High School,18,Industrial,Communication,Internet / Ecommerce,Singapore,"$90,000 - $110,000",Remote,Medium (51-500 employees),Engineer
Bachelor,13,Hospitality,HTML/CSS,Healthcare / Medical Services,Sydney,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Engineer
Bachelor,3,Hospitality,SQL,Industrial Products / Heavy Machinery,Paris,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Administrator
High School,11,Education,JavaScript,Finance / Banking,New York,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Designer
High School,19,Finance,C++,IT-Software / Software Services,Shanghai,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Analyst
Master,5,Hospitality,JavaScript,Internet / Ecommerce,Singapore,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Analyst
Bachelor,18,Industrial,Python,Retail / Wholesale,London,"$110,000 - $130,000",Contract,Large (501-10000 employees),Manager
PhD,3,Recruitment,C++,Internet / Ecommerce,Singapore,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Analyst
Bachelor,18,Hospitality,JavaScript,Retail / Wholesale,Berlin,"$70,000 - $90,000",Remote,Large (501-10000 employees),Consultant
Master,3,Retail,JavaScript,IT-Software / Software Services,Shanghai,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Analyst
PhD,12,Recruitment,JavaScript,Retail / Wholesale,Sydney,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Designer
Master,13,Education,Problem Solving,Finance / Banking,Sydney,"$70,000 - $90,000",Contract,Medium (51-500 employees),Engineer
Master,16,IT,Problem Solving,Internet / Ecommerce,San Francisco,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Developer
Master,12,IT,HTML/CSS,Internet / Ecommerce,Paris,"$70,000 - $90,000",Contract,Small (1-50 employees),Analyst
High School,13,Finance,Python,Education / Teaching,Paris,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Analyst
PhD,7,Retail,Data Analysis,IT-Software / Software Services,San Francisco,"$50,000 - $70,000",Full-time,Small (1-50 employees),Consultant
High School,8,IT,HTML/CSS,Industrial Products / Heavy Machinery,London,"$70,000 - $90,000",Contract,Medium (51-500 employees),Consultant
Bachelor,15,IT,Machine Learning,Education / Teaching,New York,"$130,000 - $150,000",Part-time,Small (1-50 employees),Manager
PhD,9,Media,Java,Hospitality / Tourism,San Francisco,"$90,000 - $110,000",Full-time,Small (1-50 employees),Consultant
High School,8,Healthcare,Data Analysis,Industrial Products / Heavy Machinery,Shanghai,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Consultant
Bachelor,12,IT,Python,Healthcare / Medical Services,Paris,"$90,000 - $110,000",Full-time,Small (1-50 employees),Consultant
High School,11,Finance,Problem Solving,Education / Teaching,Sydney,"$70,000 - $90,000",Remote,Large (501-10000 employees),Analyst
PhD,3,Media,C++,Hospitality / Tourism,San Francisco,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Administrator
High School,15,Recruitment,HTML/CSS,Healthcare / Medical Services,London,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Developer
Bachelor,12,Healthcare,HTML/CSS,Recruitment / Staffing,London,"$70,000 - $90,000",Contract,Medium (51-500 employees),Manager
Master,17,Healthcare,Problem Solving,Media / Entertainment / Internet,Tokyo,"$70,000 - $90,000",Remote,Small (1-50 employees),Analyst
Bachelor,18,Finance,Java,Hospitality / Tourism,London,"$130,000 - $150,000",Contract,Medium (51-500 employees),Developer
Bachelor,3,Retail,HTML/CSS,IT-Software / Software Services,Sydney,"$70,000 - $90,000",Contract,Small (1-50 employees),Administrator
Bachelor,3,Retail,JavaScript,Hospitality / Tourism,Paris,"$130,000 - $150,000",Remote,Medium (51-500 employees),Designer
PhD,11,Media,HTML/CSS,Industrial Products / Heavy Machinery,Toronto,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Designer
PhD,16,Hospitality,SQL,IT-Software / Software Services,New York,"$70,000 - $90,000",Contract,Large (501-10000 employees),Engineer
PhD,11,Media,Data Analysis,Internet / Ecommerce,Toronto,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
PhD,14,Hospitality,Problem Solving,Recruitment / Staffing,Tokyo,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Manager
PhD,8,Healthcare,Machine Learning,Healthcare / Medical Services,Shanghai,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Developer
Master,13,Ecommerce,Problem Solving,Healthcare / Medical Services,London,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Designer
High School,12,Industrial,SQL,Hospitality / Tourism,New York,"$70,000 - $90,000",Full-time,Small (1-50 employees),Analyst
PhD,5,Retail,Communication,Education / Teaching,Paris,"$130,000 - $150,000",Remote,Medium (51-500 employees),Administrator
Master,12,Education,Python,Recruitment / Staffing,London,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Consultant
Bachelor,18,Retail,SQL,Recruitment / Staffing,Toronto,"$130,000 - $150,000",Contract,Small (1-50 employees),Designer
High School,8,Industrial,JavaScript,Healthcare / Medical Services,Singapore,"$50,000 - $70,000",Contract,Large (501-10000 employees),Manager
Master,4,Hospitality,JavaScript,Education / Teaching,Sydney,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Analyst
PhD,10,Retail,Machine Learning,Retail / Wholesale,Berlin,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Developer
High School,18,Healthcare,Problem Solving,Finance / Banking,New York,"$70,000 - $90,000",Part-time,Small (1-50 employees),Analyst
High School,2,Retail,Java,Healthcare / Medical Services,Singapore,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Analyst
High School,16,Retail,C++,Finance / Banking,Paris,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Designer
High School,7,Hospitality,Data Analysis,Recruitment / Staffing,New York,"$70,000 - $90,000",Contract,Small (1-50 employees),Engineer
High School,18,Finance,Machine Learning,Industrial Products / Heavy Machinery,New York,"$70,000 - $90,000",Contract,Small (1-50 employees),Consultant
Master,12,Industrial,Java,Healthcare / Medical Services,Sydney,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Engineer
Bachelor,18,Recruitment,Python,Retail / Wholesale,Singapore,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Manager
Bachelor,13,Recruitment,Python,Industrial Products / Heavy Machinery,San Francisco,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Developer
High School,11,Media,Machine Learning,Hospitality / Tourism,Paris,"$70,000 - $90,000",Full-time,Small (1-50 employees),Analyst
High School,16,Media,HTML/CSS,Healthcare / Medical Services,San Francisco,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Administrator
PhD,18,Media,JavaScript,Hospitality / Tourism,Toronto,"$70,000 - $90,000",Part-time,Small (1-50 employees),Administrator
Master,6,Education,Data Analysis,Finance / Banking,Toronto,"$50,000 - $70,000",Part-time,Large (501-10000 employees),Administrator
Master,4,Education,Data Analysis,Healthcare / Medical Services,Sydney,"$50,000 - $70,000",Remote,Large (501-10000 employees),Developer
Bachelor,15,Finance,JavaScript,Media / Entertainment / Internet,Berlin,"$90,000 - $110,000",Part-time,Small (1-50 employees),Developer
Master,4,Hospitality,Machine Learning,Healthcare / Medical Services,Tokyo,"$130,000 - $150,000",Contract,Medium (51-500 employees),Engineer
PhD,17,Retail,Communication,Media / Entertainment / Internet,Shanghai,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Developer
PhD,7,IT,HTML/CSS,Hospitality / Tourism,Tokyo,"$110,000 - $130,000",Remote,Medium (51-500 employees),Developer
PhD,7,Media,Problem Solving,Hospitality / Tourism,Toronto,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Developer
Master,17,Retail,Communication,Retail / Wholesale,Tokyo,"$50,000 - $70,000",Part-time,Large (501-10000 employees),Manager
Bachelor,15,IT,Java,Healthcare / Medical Services,Tokyo,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Designer
PhD,13,Finance,SQL,Hospitality / Tourism,Berlin,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Manager
PhD,14,IT,C++,Healthcare / Medical Services,New York,"$90,000 - $110,000",Remote,Large (501-10000 employees),Administrator
Master,9,Education,C++,Recruitment / Staffing,New York,"$90,000 - $110,000",Remote,Large (501-10000 employees),Administrator
PhD,3,Finance,SQL,Recruitment / Staffing,Toronto,"$70,000 - $90,000",Full-time,Enterprise (10000+ employees),Consultant
High School,4,Industrial,Problem Solving,Hospitality / Tourism,New York,"$70,000 - $90,000",Remote,Medium (51-500 employees),Designer
High School,12,Healthcare,Communication,IT-Software / Software Services,Tokyo,"$70,000 - $90,000",Part-time,Small (1-50 employees),Analyst
High School,1,IT,SQL,Media / Entertainment / Internet,San Francisco,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Developer
